Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.70,-1.6%,19125293077,2.77,2.64,2.61,2.86
Pyerite,6.66,+0.9%,4759320083,6.83,6.52,6.25,7.04
Mexallon,28.63,-0.9%,1279619736,29.39,27.92,26.78,30.14
Isogen,52.06,+1.1%,335802927,53.03,50.45,51.00,52.14
Nocxium,87.65,-1.4%,127290967,87.72,87.48,88.51,84.64
Zydrine,1461.60,-1.6%,18914003,1476.70,1410.05,1494.61,1414.53
Megacyte,2679.66,+0.6%,8383183,2705.01,2631.74,2600.83,2693.92
Morphite,6060.21,+5.5%,632113,6221.01,5912.95,6195.46,5864.01
,,,,,,,
Fuel,,,,,,,
Coolant,1216.93,-2.6%,2839840,1125.90,1391.58,1696.96,1219.66
Enriched Uranium,5217.63,-1.0%,1575542,5263.68,5188.78,5230.00,5300.89
Heavy Water,17.59,-3.4%,25005075,17.89,17.37,17.69,22.15
Helium Isotopes,420.19,-3.7%,6279842,398.32,453.42,457.14,370.13
Hydrogen Isotopes,358.84,-0.4%,81600543,375.93,343.13,350.75,385.01
Nitrogen Isotopes,452.04,-5.4%,20313562,447.56,455.61,474.72,380.62
Oxygen Isotopes,420.03,-1.8%,15758021,414.79,422.84,437.08,389.18
Liquid Ozone,324.08,-7.4%,20500371,319.24,321.74,354.49,286.79
Mechanical Parts,604.82,+1.2%,2706710,608.69,606.43,580.65,646.57
Oxygen,110.57,-5.8%,11506473,115.34,103.34,131.89,121.13
Robotics,6921.61,+0.1%,410574,6954.99,6888.13,7000.00,6940.89
Strontium Clathrates,857.37,-11.0%,922918,834.87,910.38,766.86,819.88
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,137066.17,+0.8%,73112,139593.27,133090.67,134419.84,142123.39
Armor Plates,207059.29,+1.2%,53119,210927.69,198065.25,208110.36,216042.77
Broken Drone Transceiver,99.58,-0.3%,38364,98.97,98.30,106.73,112.01
Burned Logic Circuit,30347.17,+0.9%,230388,31311.14,28770.39,30294.10,31737.98
Charred Micro Circuit,116.52,+8.8%,223059,132.38,108.29,39.01,226.64
Conductive Polymer,129.74,+0.5%,21377,135.96,122.54,122.85,143.10
Contaminated Lorentz Fluid,148.26,+11.0%,31679,185.13,85.63,49.72,166.40
Contaminated Nanite Compound,2822.50,+3.2%,61311,3060.45,2124.21,3000.00,3189.34
Damaged Artificial Neural Network,343.98,-11.2%,40138,297.07,385.94,500.00,301.07
Defective Current Pump,177.22,+2.8%,15656,191.29,154.45,116.82,220.85
Fried Interface Circuit,4085.39,+1.2%,217348,4138.55,3992.49,4035.29,4114.57
Malfunctioning Shield Emitter,243.97,+9.1%,45764,215.02,282.00,270.24,209.65
Melted Capacitor Console,85228.69,+0.1%,24263,85516.98,83647.43,88000.00,78460.12
Scorched Telemetry Processor,132.56,+0.3%,23537,137.05,125.27,120.31,190.61
Smashed Trigger Unit,107.29,+1.7%,104054,103.79,118.62,100.00,152.79
Tangled Power Conduit,307.35,-7.2%,44722,230.70,342.88,285.71,229.08
Thruster Console,399.54,-75.9%,63053,471.63,160.10,100.00,200.04
Tripped Power Circuit,40596.81,+1.2%,204976,41679.81,38121.04,40160.21,42364.07
Ward Console,22212.11,+1.6%,67187,22374.95,20154.19,21339.58,19686.34
,,,,,,,
Datacores,,,,,,,
