Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jite
Minerals,,,,,,,
Tritanium,2.51,-0.4%,34380643828,2.55,2.44,2.53,2.68
Pyerite,5.65,-6.9%,7343732429,5.78,5.62,5.27,6.11
Mexallon,26.85,-2.0%,2025313507,27.01,26.70,26.18,28.49
Isogen,50.78,-3.3%,339175493,51.62,48.52,49.57,52.38
Nocxium,135.14,+14.7%,120261711,139.31,113.29,168.81,130.93
Zydrine,1396.09,+0.6%,19548069,1399.61,1350.42,1468.16,1377.49
Megacyte,2783.74,+4.8%,9886599,2773.03,2701.10,3106.95,2908.00
Morphite,5582.02,+7.5%,863968,5648.46,5449.44,6281.23,5740.18
,,,,,,,
Fuel,,,,,,,
Coolant,1178.46,-2.4%,4294568,1129.90,1795.92,1739.52,1236.57
Enriched Uranium,5930.35,-0.5%,1436762,5957.67,5324.37,5044.05,5300.56
Heavy Water,24.72,-0.2%,32358213,25.38,23.49,30.51,23.37
Helium Isotopes,342.06,+1.6%,14021321,338.41,444.38,393.76,327.38
Hydrogen Isotopes,326.16,+2.2%,97403496,327.97,321.47,319.76,349.94
Nitrogen Isotopes,354.00,-2.9%,24543855,351.70,403.86,474.60,315.66
Oxygen Isotopes,381.37,+2.3%,18978420,382.07,381.24,515.60,355.43
Liquid Ozone,324.00,-2.6%,41066967,315.28,341.17,475.40,290.05
Mechanical Parts,628.20,-3.9%,4856354,631.96,630.47,598.86,645.57
Oxygen,108.98,+0.2%,12887251,109.25,107.01,129.18,128.27
Robotics,7013.60,-0.2%,1223979,7169.39,6890.00,7235.00,6958.12
Strontium Clathrates,801.97,-0.7%,1822834,835.79,658.85,1452.13,714.23
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,130089.39,-7.8%,138765,130122.85,134174.08,124334.16,137896.04
Armor Plates,224899.87,-2.2%,107343,227745.89,210462.88,222103.99,229100.85
Broken Drone Transceiver,72.58,+37.8%,57288,75.99,53.81,100.00,99.56
Burned Logic Circuit,29526.03,-5.2%,400267,29714.39,30021.09,29242.77,30091.51
Charred Micro Circuit,87.45,+25.8%,345423,108.68,59.66,72.99,167.32
Conductive Polymer,92.15,+8.5%,38638,89.10,101.11,100.01,133.22
Contaminated Lorentz Fluid,124.45,-19.6%,53943,136.38,90.11,100.01,167.58
Contaminated Nanite Compound,2484.56,-19.5%,93805,2656.04,2233.75,2000.00,3290.64
Damaged Artificial Neural Network,309.04,-2.9%,47192,300.13,258.79,500.00,305.48
Defective Current Pump,177.64,-43.7%,54922,184.84,154.75,74.45,187.45
Fried Interface Circuit,5015.44,+1.7%,407168,5184.91,3989.82,5188.06,4997.28
Malfunctioning Shield Emitter,266.56,+12.9%,85201,294.73,90.38,300.21,271.90
Melted Capacitor Console,81416.03,+4.4%,33621,83700.63,61650.34,82686.65,75114.45
Scorched Telemetry Processor,135.70,-11.6%,66561,250.40,116.90,120.02,157.34
Smashed Trigger Unit,62.29,+60.5%,171396,73.75,19.99,66.11,121.77
Tangled Power Conduit,1512.80,-93.4%,102215,2366.37,947.17,102.31,254.03
Thruster Console,95.48,+4.7%,111326,84.80,146.50,100.00,162.27
Tripped Power Circuit,44223.03,-5.0%,413723,44915.93,42070.50,42855.85,44963.07
Ward Console,22336.06,+11.9%,67354,22313.35,21433.91,24513.37,19638.09
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,194527.80,-48.0%,715,194527.80,194075.73,216410.78,165391.93
Datacore - Caldari Starship Engineering,186238.43,+4.7%,1951,168623.91,235609.57,343947.33,148697.88
Datacore - Electromagnetic Physics,102893.80,+1.1%,2784,102222.05,106198.64,194639.18,91568.04
Datacore - Electronic Engineering,299973.40,+9.0%,9464,295596.69,330091.76,229694.46,281599.75
Datacore - Gallentean Starship Engineering,185453.38,+5.1%,2451,187220.00,188918.70,118105.08,193554.50
Datacore - Graviton Physics,126964.61,+57.5%,1116,126349.64,136544.90,305272.25,111398.78
Datacore - High Energy Physics,193378.72,+3.4%,2833,198349.57,180146.00,203429.10,198858.85
Datacore - Hydromagnetic Physics,462251.02,+4.9%,2171,486316.41,425860.63,467812.78,386936.64
Datacore - Laser Physics,164386.27,+15.6%,1793,164866.71,161332.57,239116.72,164350.42
Datacore - Mechanical Engineering,382471.40,+4.9%,35928,395355.67,374281.74,366274.37,401479.10
Datacore - Minmatar Starship Engineering,432510.38,+2.7%,6624,442672.19,407756.38,405496.57,454393.53
Datacore - Molecular Engineering,327968.88,+0.6%,1374,327408.20,332398.56,372342.11,293126.19
Datacore - Nanite Engineering,233984.86,+2.1%,1410,234694.10,220802.21,296026.32,183692.07
Datacore - Nuclear Physics,313279.66,+6.9%,5234,319449.67,286318.67,299750.00,340453.05
Datacore - Plasma Physics,252197.28,-9.6%,979,215575.94,278904.55,572440.94,164517.88
Datacore - Quantum Physics,408071.38,-2.0%,1426,404062.94,460187.61,355679.84,373857.89
Datacore - Rocket Science,252486.23,-4.9%,1699,258963.66,242742.61,295784.16,202198.89
,,,,,,,
Decryptors,,,,,,,
Advanced Theories,11395737.21,-7.5%,189,11558629.53,10168192.14,8200320.50,12658408.89
Assembly Instructions,32488000.27,-32.3%,26,33048433.58,29552346.63,25884615.23,31575559.89
Calibration Data,4270085.41,-6.8%,294,4200226.74,4221255.22,3933333.42,6561859.86
Circuitry Schematics,6318725.90,-7.2%,90,6422206.09,6870131.55,5210942.00,8280758.08
Circular Logic,1996772.80,-95.0%,53,1949587.42,2699999.78,3075000.00,1557161.10
Classic Doctrine,7192961.38,-11.0%,28,7192961.38,7133500.00,7500000.00,7885835.08
