Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.45,-1.3%,31480693504,2.48,2.40,2.55,2.50
Pyerite,4.98,-1.6%,6371716364,5.01,4.89,4.80,5.15
Mexallon,23.56,+2.0%,1852569468,23.95,22.36,22.01,25.44
Isogen,48.39,-0.7%,336016895,49.06,46.49,48.65,49.31
Nocxium,121.13,-7.3%,130943596,121.46,121.27,138.08,114.85
Zydrine,1128.98,-2.6%,21853410,1127.06,1144.54,1333.55,1068.43
Megacyte,2367.24,-4.3%,11171769,2362.22,2416.10,2928.61,2386.09
Morphite,4626.25,-0.6%,1410527,4681.81,4548.31,5677.32,4695.65
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,121254.48,-1.9%,122641,122466.72,117574.61,121549.72,129914.47
Armor Plates,233790.92,-1.2%,108050,233868.32,235165.89,221826.64,230775.24
Broken Drone Transceiver,94.55,+132.7%,68014,62.26,212.33,100.00,239.76
Burned Logic Circuit,30841.87,+3.6%,417972,31164.26,29518.06,29238.11,32738.36
Charred Micro Circuit,177.86,+24.3%,487954,164.94,214.24,100.00,370.78
Conductive Polymer,237.79,-78.5%,144273,241.06,203.54,100.00,307.88
Contaminated Lorentz Fluid,314.68,-71.3%,154671,311.25,192.82,100.00,242.22
Contaminated Nanite Compound,3373.53,-22.0%,139830,3464.88,2630.03,1865.65,3144.83
Damaged Artificial Neural Network,318.98,+6.0%,55455,338.06,270.06,500.00,395.88
Defective Current Pump,149.84,+46.8%,21811,145.44,211.52,100.00,510.89
Fried Interface Circuit,4940.60,-3.8%,467443,4979.41,4765.47,4234.88,4947.40
Malfunctioning Shield Emitter,296.59,-66.3%,104794,315.37,194.94,301.31,274.86
Melted Capacitor Console,89373.88,-2.6%,27770,89410.25,88201.90,88303.61,85549.60
Scorched Telemetry Processor,153.82,+43.0%,36554,139.73,214.54,100.00,310.45
Smashed Trigger Unit,88.36,-10.9%,257514,59.88,210.62,100.01,266.03
Tangled Power Conduit,313.28,-4.2%,35797,321.90,291.53,417.06,394.69
Thruster Console,111.25,-9.4%,185025,100.55,189.87,100.00,377.99
Tripped Power Circuit,48431.03,-7.0%,375614,49403.34,44728.29,44866.41,50726.75
Ward Console,27624.66,+1.5%,46848,27857.31,23899.54,24075.94,24594.70
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,6029.37,-0.5%,419,6029.37,426.29,2041.07,7249.39
Capacitor Console,19471986.45,+4.3%,163,19471986.45,15335300.20,9071433.65,20035540.40
Conductive Thermoplastic,12030.33,-0.2%,366,12030.33,16030.90,3001.08,13453.70
Current Pump,18604.49,-46.2%,51,18604.49,19855.39,3858.27,45031.12
Drone Transceiver,3960.40,-6.4%,150,3914.48,3800.69,2149.22,5511.93
Enhanced Ward Console,17836455.91,-0.4%,155,17900193.04,17834548.61,8878462.50,17101256.18
Impetus Console,12934.28,-21.8%,144,9736.76,21750.17,5008.95,18394.13
Intact Armor Plates,21739172.96,-2.8%,186,21782479.84,23240905.14,18850502.49,23432875.65
Intact Shield Emitter,931246.72,+4.3%,128,971425.04,400000.00,106976.67,604624.11
Interface Circuit,106470.81,+12.7%,758,112629.30,71929.97,178175.60,70050.27
Logic Circuit,150989.77,+24.9%,1022,157529.39,132278.89,98382.68,167167.53
Lorentz Fluid,2813.98,+7.4%,406,3075.32,100.66,1503.07,6679.79
Micro Circuit,18927.41,+26.8%,817,18923.79,17170.54,40548.86,9791.20
Nanite Compound,35852.34,-2.4%,91,41654.65,104498.35,5369.37,60876.77
Power Circuit,1644491.09,-2.6%,877,1643873.27,1633036.59,3326559.90,1583366.96
Power Conduit,107467.93,+95.9%,155,107705.11,29532.56,2007.12,16582.48
Single-crystal Superalloy I-beam,5206642.25,+0.4%,193,4917268.60,5637100.91,6660975.61,6111003.56
