Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Minerals,,,,,,,
Tritanium,2.76,+0.4%,29470925697,2.79,2.71,2.75,2.94
Pyerite,7.00,+1.7%,7525399735,7.08,6.89,6.70,7.43
Mexallon,28.36,+0.4%,2089085467,28.63,27.98,27.21,30.76
Isogen,53.27,+0.3%,296557125,53.30,53.28,53.10,55.51
Nocxium,85.35,-3.0%,93687375,84.78,85.27,87.92,81.33
Zydrine,1204.18,-3.2%,23357093,1217.17,1167.58,1204.98,1133.65
Megacyte,2055.03,+0.6%,9871276,2065.42,2016.65,2129.40,2019.11
Morphite,5205.94,-0.4%,584810,5285.56,5059.98,5464.70,5004.81
,,,,,,,
Fuel,,,,,,,
Coolant,1174.65,+1.8%,3903703,1119.94,1244.83,2082.92,1220.66
Enriched Uranium,5385.77,-1.0%,1826840,5462.64,5412.99,4979.31,5300.01
Heavy Water,18.90,+4.7%,29363380,19.25,18.13,22.06,21.50
Helium Isotopes,420.34,+2.9%,21341242,400.84,483.91,452.37,362.81
Hydrogen Isotopes,430.70,+0.2%,119921439,434.99,429.04,411.25,468.66
Nitrogen Isotopes,471.60,-0.9%,22269278,452.65,489.62,550.49,426.59
Oxygen Isotopes,497.10,-5.7%,31046904,489.14,483.40,530.71,413.49
Liquid Ozone,375.02,-2.8%,34830484,372.02,375.28,414.44,323.83
Mechanical Parts,620.75,+0.6%,3938773,627.66,617.54,588.57,636.00
Oxygen,103.20,+0.5%,14166154,109.25,96.29,115.93,116.92
Robotics,6919.41,+0.3%,645976,6959.99,6866.05,7000.00,6931.05
Strontium Clathrates,963.89,-17.9%,2160090,1052.16,728.28,1800.13,832.08
,,,,,,,
Salvage Materials,,,,,,,
Alloyed Tritanium Bar,139587.33,-0.2%,153495,139856.09,138316.61,139898.20,145055.29
Armor Plates,199166.12,-2.0%,119357,201729.85,190013.05,196000.00,204208.33
Broken Drone Transceiver,111.74,-8.4%,92721,116.03,103.73,100.01,141.28
Burned Logic Circuit,30129.34,+0.8%,439780,30373.45,29111.51,30413.47,31627.56
Charred Micro Circuit,169.05,-9.9%,477794,181.87,120.39,160.05,348.10
Conductive Polymer,148.58,-9.2%,58477,152.21,149.89,100.01,188.89
Contaminated Lorentz Fluid,152.96,+7.0%,61744,180.06,74.11,100.01,235.07
Contaminated Nanite Compound,2633.93,+7.4%,126586,2802.97,1834.68,2829.01,3458.89
Damaged Artificial Neural Network,379.81,-34.1%,98151,388.63,290.28,400.00,238.81
Defective Current Pump,179.67,-2.7%,38362,190.72,152.88,101.01,326.00
Fried Interface Circuit,3805.14,+3.3%,441843,3711.31,4001.87,4000.27,4254.64
Malfunctioning Shield Emitter,361.31,-42.4%,106449,335.89,432.06,235.28,415.68
Melted Capacitor Console,94075.86,-1.0%,33917,93100.04,96843.24,93904.40,89603.42
Scorched Telemetry Processor,258.42,+7.5%,50578,311.46,133.27,120.02,150.62
Smashed Trigger Unit,164.78,+4.6%,266245,180.84,130.74,93.58,175.26
Tangled Power Conduit,469.48,+162.1%,68474,225.16,802.52,2980.43,243.63
Thruster Console,141.17,-0.4%,102817,142.13,158.42,100.01,219.03
Tripped Power Circuit,37246.94,+1.7%,445427,37240.77,37011.78,37745.47,38920.67
Ward Console,23530.57,-11.3%,62980,24026.39,21221.76,22000.00,19585.00
,,,,,,,
Datacores,,,,,,,
Datacore - Amarrian Starship Engineering,147650.41,-3.3%,1608,141141.51,188235.29,0.00,122101.00
Datacore - Caldari Starship Engineering,164935.42,+7.5%,1204,170806.45,158317.17,0.00,164497.61
Datacore - Electromagnetic Physics,105152.51,+12.8%,1236,89334.13,125921.00,250000.00,81413.01
